San Diego 1
ALLIANCE TED K TAJIMA HIGH SCH|Los Angeles|Los Angeles||ALLIANCE TED K. TAJIMA HIGH|Los Angeles|Alliance Ted K. Tajima High|90026
ALLIANCE TENNENBAUM FAMILY TECH HS|Los Angeles|Los Angeles||ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH|Los Angeles|Alliance Tennenbaum Family Technology Hi|90065
AMBASSADOR SCHL GLOBAL LDRSHP|Los Angeles|Los Angeles||AMBASSADOR-GLOBAL LEADERSHIP|Los Angeles|Los Angeles Unified|90005
ANAHUACALMECAC INTRL UNIV PREP|Los Angeles|Los Angeles||ANAHUACALMECAC INTERNATIONAL UNIVERSITY PREPARATOR|Los Angeles|Anahuacalmecac International University|90032
ANIMO CTY CHAMPIONS CHARTER HS|Los Angeles|Inglewood||ANIMO CITY OF CHAMPIONS CHARTER HIGH|Los Angeles|Animo City of Champions Charter High|90305
ANIMO JACKIE ROBINSON CHRT SCH|Los Angeles|Los Angeles||ANIMO JACKIE ROBINSON HIGH|Los Angeles|Animo Jackie Robinson High|90007
ANIMO LEADERSHIP CHARTER HS|Los Angeles|Inglewood||ANIMO LEADERSHIP HIGH|Los Angeles|Animo Leadership High|90301
ANIMO PAT BROWN CHARTER HS|Los Angeles|Los Angeles||ANIMO PAT BROWN|Los Angeles|Animo Pat Brown|90001
ANIMO S LOS ANGELES CHARTER HS|Los Angeles|Los Angeles||ANIMO SOUTH LOS ANGELES CHARTER|Los Angeles|Animo South Los Angeles Charter|90047
ANIMO WATTS COLLGE PREP ACDMY|Los Angeles|Los Angeles||ANIMO WATTS COLLEGE PREPARATORY ACADEMY|Los Angeles|Animo Watts College Preparatory Academy|90061
ARTS & ENTERTAINMENT VIRTUAL ACAD|Los Angeles|Carson||VIRTUAL ACADEMY OF THE ARTS & ENTERTAINMENT|Los Angeles|Los Angeles Unified|90746
ASPIRE OLLIN UNIV PREP ACDMY|Los Angeles|Huntington Park||ASPIRE OLLIN UNIVERSITY PREPARATORY ACADEMY|Los Angeles|Aspire Ollin University Preparatory Acad|90255
AVALON HIGH SCHOOL|Los Angeles|Avalon||AVALON K-12|Los Angeles|Long Beach Unified|90704
AVESON GLOBAL LEADERSHIP ACAD|Los Angeles|Altadena||AVESON GLOBAL LEADERSHIP ACADEMY|Los Angeles|Aveson Global Leadership Academy|91001
BARACK OBAMA GLOBAL PREP ACADEMY|Los Angeles|Los Angeles||BARACK OBAMA GLOBAL PREPARATION ACADEMY|Los Angeles|Los Angeles Unified|90062
BASSETT HIGH SCHOOL|Los Angeles|La Puente||BASSETT SENIOR HIGH|Los Angeles|Bassett Unified|91746
BELL HIGH SCHOOL|Los Angeles|Bell||BELL SENIOR HIGH|Los Angeles|Los Angeles Unified|90201
BELMONT HIGH SCHOOL|Los Angeles|Los Angeles||BELMONT SENIOR HIGH|Los Angeles|Los Angeles Unified|90026
BENJAMIN FRANKLIN HIGH SCHOOL|Los Angeles|Los Angeles||BENJAMIN FRANKLIN SENIOR HIGH|Los Angeles|Los Angeles Unified|90042
BIRMINGHAM COMMUNITY HS|Los Angeles|Lake Balboa||BIRMINGHAM COMMUNITY CHARTER HIGH|Los Angeles|Birmingham Community Charter High|91406
